Date,Type,Details,Workout,Pre Workout
2024-07-12,gym,['weights'],"Workout for 2024-07-12:

68 push ups

Overhead Squat for max set of 10 reps
Front Squat for max set of 10 reps

70 squats",['push ups' 'squats']
2024-07-11,off,[],"Workout for 2024-07-11:

68 push ups

Off Day

68 push ups",['push ups' 'push ups']
2024-07-10,run/gym,"['machine', 'cf']","Workout for 2024-07-10:

97 sit ups

Endurance Row

Sunday 2024-07-07 Crossfit Workout

68 push ups",['sit ups' 'push ups']
2024-07-09,off,[],"Workout for 2024-07-09:

68 push ups

Off Day

68 push ups",['push ups' 'push ups']
2024-07-08,gym,"['abs', 'weights']","Workout for 2024-07-08:

Ab workout
Back Squat for max set of 5 reps (if time persists)

68 push ups",['break' 'push ups']
2024-07-07,run,['run'],"Workout for 2024-07-07:

97 sit ups

Long distance run or Short spurts Bike

97 sit ups",['sit ups' 'sit ups']
2024-07-06,run,['run'],"Workout for 2024-07-06:

97 sit ups

Long distance run or Intermediate Treadmill

68 push ups",['sit ups' 'push ups']
2024-07-05,gym,"['abs', 'weights']","Workout for 2024-07-05:

68 push ups

Ab workout
Bench for max set of 10 reps
Dumbbell Bench for max set of 20 reps (if time persists)

97 sit ups",['push ups' 'sit ups']
2024-07-04,off,[],"Workout for 2024-07-04:

97 sit ups

Off Day

70 squats",['sit ups' 'squats']
2024-07-03,gym/run,"['weights', 'run']","Workout for 2024-07-03:

97 sit ups

Clean for max set of 5 reps

Long distance run or Short spurts Row

70 squats",['sit ups' 'squats']
2024-07-02,off,[],"Workout for 2024-07-02:

Off Day
",['break' 'break']
2024-07-01,gym,['cf'],"Workout for 2024-07-01:

68 push ups

Monday 2024-07-01 Crossfit Workout

70 squats",['push ups' 'squats']
2024-06-30,run,['run'],"Workout for 2024-06-30:

68 push ups

Short distance sprints or Endurance Treadmill

97 sit ups",['push ups' 'sit ups']
2024-06-29,run,['run'],"Workout for 2024-06-29:

70 squats

Intermediate distance sprints or Endurance Stairmaster

97 sit ups",['squats' 'sit ups']
2024-06-28,gym,['weights'],"Workout for 2024-06-28:

Dumbbell Bench for max set of 10 reps
Deadlift for max set of 15 reps
",['break' 'break']
2024-06-27,off,[],"Workout for 2024-06-27:

97 sit ups

Off Day
",['sit ups' 'break']
2024-06-26,run/gym,"['machine', 'cf']","Workout for 2024-06-26:

68 push ups

Endurance Ski machine

Thursday 2024-06-20 Crossfit Workout

68 push ups",['push ups' 'push ups']
2024-06-25,off,[],"Workout for 2024-06-25:

Off Day

68 push ups",['break' 'push ups']
2024-06-24,gym,"['abs', 'weights']","Workout for 2024-06-24:

Hang pull ups
Ab workout
Intermediate Treadmill
 (if time persists)

68 push ups",['break' 'push ups']
2024-06-23,run,['run'],"Workout for 2024-06-23:

Long distance run or Intermediate Stairmaster
",['break' 'break']
2024-06-22,run,['run'],"Workout for 2024-06-22:

Long distance run or Intermediate Treadmill
",['break' 'break']
2024-06-21,gym,"['abs', 'weights']","Workout for 2024-06-21:

97 sit ups

Ab workout
Tuesday 2024-06-18 Crossfit Workout (if time persists)
",['sit ups' 'break']
2024-06-20,off,[],"Workout for 2024-06-20:

97 sit ups

Off Day

97 sit ups",['sit ups' 'sit ups']
2024-06-19,gym/run,"['weights', 'run']","Workout for 2024-06-19:

70 squats

Dumbbell Overhead Press for max set of 10 reps
Deadlift for max set of 12 reps

Long distance run or Endurance Stairmaster

68 push ups",['squats' 'push ups']
2024-06-18,off,[],"Workout for 2024-06-18:

Off Day
",['break' 'break']
2024-06-17,gym,['cf'],"Workout for 2024-06-17:

Hold plank as long as possible
Monday 2024-06-17 Crossfit Workout

68 push ups",['break' 'push ups']
2024-06-16,run,['run'],"Workout for 2024-06-16:

68 push ups

Intermediate distance sprints or Endurance Treadmill
",['push ups' 'break']
2024-06-15,run,['run'],"Workout for 2024-06-15:

70 squats

Intermediate distance sprints or Endurance Treadmill

70 squats",['squats' 'squats']
2024-06-14,gym,['weights'],"Workout for 2024-06-14:

Back Squat for max set of 10 reps
Clean for max set of 5 reps

68 push ups",['break' 'push ups']
2024-06-13,off,[],"Workout for 2024-06-13:

70 squats

Off Day

97 sit ups",['squats' 'sit ups']
2024-06-12,run/gym,"['machine', 'cf']","Workout for 2024-06-12:

70 squats

Intermediate Bike

Tuesday 2024-06-11 Crossfit Workout

70 squats",['squats' 'squats']
2024-06-11,off,[],"Workout for 2024-06-11:

68 push ups

Off Day

97 sit ups",['push ups' 'sit ups']
2024-06-10,gym,"['abs', 'weights']","Workout for 2024-06-10:

97 sit ups

Ab workout
Endurance Treadmill (if time persists)

70 squats",['sit ups' 'squats']
2024-06-09,run,['run'],"Workout for 2024-06-09:

97 sit ups

Long distance run or Endurance Stairmaster

68 push ups",['sit ups' 'push ups']
2024-06-08,run,['run'],"Workout for 2024-06-08:

97 sit ups

Long distance run or Endurance Stairmaster
",['sit ups' 'break']
2024-06-07,gym,"['abs', 'weights']","Workout for 2024-06-07:

70 squats

Toes to bar
Ab workout
Endurance Stairmaster
 (if time persists)

97 sit ups",['squats' 'sit ups']
2024-06-06,off,[],"Workout for 2024-06-06:

68 push ups

Off Day
",['push ups' 'break']
